series	season	episode	title	stardate	air date
TOS	1	1	The Man Trap	1513.1	1966-09-08
TOS	1	2	Charlie X	1533.6	1966-09-15
TOS	0	0	Where No Man Has Gone Before	1312.4	1966-09-22
TOS	1	3	Where No Man Has Gone Before	1312.4	1966-09-22
TOS	1	4	The Naked Time	1704.2	1966-09-29
TOS	1	5	The Enemy Within	1672.1	1966-10-06
TOS	1	6	Mudd's Women	1329.8	1966-10-13
TOS	1	7	What Are Little Girls Made Of?	2712.4	1966-10-20
TOS	1	8	Miri	2713.5	1966-10-27
TOS	1	9	Dagger of the Mind	2715.1	1966-11-03
TOS	1	10	The Corbomite Maneuver	1512.2	1966-11-10
TOS	1	11	The Menagerie, Part I	3012.4	1966-11-17
TOS	1	12	The Menagerie, Part II	3013.1	1966-11-24
TOS	1	13	The Conscience of the King	2817.6	1966-12-08
TOS	1	14	Balance of Terror	1709.2	1966-12-15
TOS	1	15	Shore Leave	3025.3	1966-12-29
TOS	1	16	The Galileo Seven	2821.5	1967-01-05
TOS	1	17	The Squire of Gothos	2124.5	1967-01-12
TOS	1	18	Arena	3045.6	1967-01-19
TOS	1	19	Tomorrow Is Yesterday	3113.2	1967-01-26
TOS	1	20	Court Martial	2947.3	1967-02-02
TOS	1	21	The Return of the Archons	3156.2	1967-02-09
TOS	1	22	Space Seed	3141.9	1967-02-16
TOS	1	23	A Taste of Armageddon	3192.1	1967-02-23
TOS	1	24	This Side of Paradise	3417.3	1967-03-02
TOS	1	25	The Devil in the Dark	3196.1	1967-03-09
TOS	1	26	Errand of Mercy	3198.4	1967-03-23
TOS	1	27	The Alternative Factor	3087.6	1967-03-30
TOS	1	28	The City on the Edge of Forever	Unknown	1967-04-06
TOS	1	29	Operation: Annihilate!	3287.2	1967-04-13
TOS	2	30	Amok Time	3372.7	1967-09-15
TOS	2	31	Who Mourns for Adonais?	3468.1	1967-09-22
TOS	2	32	The Changeling	3541.9	1967-09-29
TOS	2	33	Mirror, Mirror	Unknown	1967-10-06
TOS	2	34	The Apple	3715.3	1967-10-13
TOS	2	35	The Doomsday Machine	4202.9	1967-10-20
TOS	2	36	Catspaw	3018.2	1967-10-27
TOS	2	37	I, Mudd	4513.3	1967-11-03
TOS	2	38	Metamorphosis	3219.4	1967-11-10
TOS	2	39	Journey to Babel	3842.3	1967-11-17
TOS	2	40	Friday's Child	3497.2	1967-12-01
TOS	2	41	The Deadly Years	3478.2	1967-12-08
TOS	2	42	Obsession	3619.2	1967-12-15
TOS	2	43	Wolf in the Fold	3614.9	1967-12-22
TOS	2	44	The Trouble With Tribbles	4523.3	1967-12-29
TOS	2	45	The Gamesters of Triskelion	3211.7	1968-01-05
TOS	2	46	A Piece of the Action	4598.0	1968-01-12
TOS	2	47	The Immunity Syndrome	4307.1	1968-01-19
TOS	2	48	A Private Little War	4211.4	1968-02-02
TOS	2	49	Return to Tomorrow	4768.3	1968-02-09
TOS	2	50	Patterns of Force	2534.0	1968-02-16
TOS	2	51	By Any Other Name	4657.5	1968-02-23
TOS	2	52	The Omega Glory	Unknown	1968-03-01
TOS	2	53	The Ultimate Computer	4729.4	1968-03-08
TOS	2	54	Bread and Circuses	4040.7	1968-03-15
TOS	2	55	Assignment: Earth	Unknown	1968-03-29
TOS	3	56	Spock's Brain	5431.4	1968-09-20
TOS	3	57	The Enterprise Incident	5027.3	1968-09-27
TOS	3	58	The Paradise Syndrome	4842.6	1968-10-04
TOS	3	59	And the Children Shall Lead	5029.5	1968-10-11
TOS	3	60	Is There in Truth No Beauty?	5630.7	1968-10-18
TOS	3	61	Spectre of the Gun	4385.3	1968-10-25
TOS	3	62	Day of the Dove	Unknown	1968-11-01
TOS	3	63	For the World Is Hollow and I Have Touched the Sky	5476.3	1968-11-08
TOS	3	64	The Tholian Web	5693.2	1968-11-15
TOS	3	65	Plato's Stepchildren	5784.2	1968-11-22
TOS	3	66	Wink of an Eye	5710.5	1968-11-29
TOS	3	67	The Empath	5121.5	1968-12-06
TOS	3	68	Elaan of Troyius	4372.5	1968-12-20
TOS	3	69	Whom Gods Destroy	5718.3	1969-01-03
TOS	3	70	Let That Be Your Last Battlefield	5730.2	1969-01-10
TOS	3	71	The Mark of Gideon	5423.4	1969-01-17
TOS	3	72	That Which Survives	Unknown	1969-01-24
TOS	3	73	The Lights of Zetar	5725.3	1969-01-31
TOS	3	74	Requiem for Methuselah	5843.7	1969-02-14
TOS	3	75	The Way to Eden	5832.3	1969-02-21
TOS	3	76	The Cloud Minders	5818.4	1969-02-28
TOS	3	77	The Savage Curtain	5906.4	1969-03-07
TOS	3	78	All Our Yesterdays	5943.7	1969-03-14
TOS	3	79	Turnabout Intruder	5928.5	1969-06-03
TAS	1	1	Beyond the Farthest Star	5521.3	1973-09-08
TAS	1	2	Yesteryear	5373.4	1973-09-15
TAS	1	3	One of Our Planets is Missing	5371.3	1973-09-22
TAS	1	4	The Lorelei Signal	5483.7	1973-09-29
TAS	1	5	More Tribbles, More Troubles	5392.4	1973-10-06
TAS	1	6	The Survivor	5143.3	1973-10-13
TAS	1	7	The Infinite Vulcan	5554.4	1973-10-20
TAS	1	8	The Magicks of Megas-tu	1254.4	1973-10-27
TAS	1	9	Once Upon a Planet	5591.2	1973-11-03
TAS	1	10	Mudd's Passion	4978.5	1973-11-10
TAS	1	11	The Terratin Incident	5577.3	1973-11-17
TAS	1	12	The Time Trap	5267.2	1973-11-24
TAS	1	13	The Ambergris Element	5499.9	1973-12-01
TAS	1	14	The Slaver Weapon	4187.3	1973-12-15
TAS	1	15	The Eye of the Beholder	5501.2	1974-01-05
TAS	1	16	The Jihad	5683.1	1974-01-12
TAS	2	17	The Pirates of Orion	6334.1	1974-09-07
TAS	2	18	Bem	7403.6	1974-09-17
TAS	2	19	The Practical Joker	3183.3	1974-09-21
TAS	2	20	Albatross	5275.6	1974-09-28
TAS	2	21	How Sharper Than a Serpent's Tooth	6063.4	1974-10-05
TAS	2	22	The Counter-Clock Incident	6770.3	1974-10-12
TNG	1	1	Encounter at Farpoint	41153.7	1987-09-28
TNG	1	2	Encounter at Farpoint	41153.7	1987-09-28
TNG	1	3	The Naked Now	41209.2	1987-10-05
TNG	1	4	Code of Honor	41235.25	1987-10-12
TNG	1	5	The Last Outpost	41386.4	1987-10-19
TNG	1	6	Where No One Has Gone Before	41263.1	1987-10-26
TNG	1	7	Lonely Among Us	41249.3	1987-11-02
TNG	1	8	Justice	41255.6	1987-11-09
TNG	1	9	The Battle	41723.9	1987-11-16
TNG	1	10	Hide and Q	41590.5	1987-11-23
TNG	1	11	Haven	41294.5	1987-11-30
TNG	1	12	The Big Goodbye	41997.7	1988-01-11
TNG	1	13	Datalore	41242.4	1988-01-18
TNG	1	14	Angel One	41636.9	1988-01-25
TNG	1	15	11001001	41365.9	1988-02-01
TNG	1	16	Too Short a Season	41309.5	1988-02-08
TNG	1	17	When the Bough Breaks	41509.1	1988-02-15
TNG	1	18	Home Soil	41463.9	1988-02-22
TNG	1	19	Coming of Age	41416.2	1988-03-14
TNG	1	20	Heart of Glory	41503.7	1988-03-21
TNG	1	21	The Arsenal of Freedom	41798.2	1988-04-11
TNG	1	22	Symbiosis	Unknown	1988-04-18
TNG	1	23	Skin of Evil	41601.3	1988-04-25
TNG	1	24	We'll Always Have Paris	41697.9	1988-05-02
TNG	1	25	Conspiracy	41775.5	1988-05-09
TNG	1	26	The Neutral Zone	41986.0	1988-05-16
TOS	0	0	The Cage	Unknown	1988-10-01
TNG	2	1	The Child	42073.1	1988-11-21
TNG	2	2	Where Silence Has Lease	42193.6	1988-11-28
TNG	2	3	Elementary, Dear Data	42286.3	1988-12-05
TNG	2	4	The Outrageous Okona	42402.7	1988-12-12
TNG	2	5	Loud as a Whisper	42477.2	1989-01-09
TNG	2	6	The Schizoid Man	42437.5	1989-01-23
TNG	2	7	Unnatural Selection	42494.8	1989-01-30
TNG	2	8	A Matter of Honor	42506.5	1989-02-06
TNG	2	9	The Measure of a Man	42523.7	1989-02-13
TNG	2	10	The Dauphin	42568.8	1989-02-20
TNG	2	11	Contagion	42609.1	1989-03-20
TNG	2	12	The Royale	42625.4	1989-03-27
TNG	2	13	Time Squared	42679.2	1989-04-03
TNG	2	14	The Icarus Factor	42686.4	1989-04-24
TNG	2	15	Pen Pals	42695.3	1989-05-01
TNG	2	16	Q Who	42761.3	1989-05-08
TNG	2	17	Samaritan Snare	42779.1	1989-05-15
TNG	2	18	Up the Long Ladder	42823.2	1989-05-22
TNG	2	19	Manhunt	42859.2	1989-06-19
TNG	2	20	The Emissary	42901.3	1989-06-26
TNG	2	21	Peak Performance	42923.4	1989-07-10
TNG	2	22	Shades of Gray	42976.1	1989-07-17
TNG	3	1	Evolution	43125.8	1989-09-25
TNG	3	2	The Ensigns of Command	43133.3	1989-10-02
TNG	3	3	The Survivors	43152.4	1989-10-09
TNG	3	4	Who Watches the Watchers	43173.5	1989-10-16
TNG	3	5	The Bonding	43198.7	1989-10-23
TNG	3	6	Booby Trap	43205.6	1989-10-30
TNG	3	7	The Enemy	43349.2	1989-11-06
TNG	3	8	The Price	43385.6	1989-11-13
TNG	3	9	The Vengeance Factor	43421.9	1989-11-20
TNG	3	10	The Defector	43462.5	1990-01-01
TNG	3	11	The Hunted	43489.2	1990-01-08
TNG	3	12	The High Ground	43510.7	1990-01-29
TNG	3	13	Déjà Q	43539.1	1990-02-05
TNG	3	14	A Matter of Perspective	43610.4	1990-02-12
TNG	3	15	Yesterday's Enterprise	43625.2	1990-02-19
TNG	3	16	The Offspring	43657.0	1990-03-12
TNG	3	17	Sins of the Father	43685.2	1990-03-19
TNG	3	18	Allegiance	43714.1	1990-03-26
TNG	3	19	Captain's Holiday	43745.2	1990-04-02
TNG	3	20	Tin Man	43779.3	1990-04-23
TNG	3	21	Hollow Pursuits	43807.4	1990-04-30
TNG	3	22	The Most Toys	43872.2	1990-05-07
TNG	3	23	Sarek	43917.4	1990-05-14
TNG	3	24	Ménage à Troi	43930.7	1990-05-28
TNG	3	25	Transfigurations	43957.2	1990-06-04
TNG	3	26	The Best of Both Worlds: Part One	43989.1	1990-06-18
TNG	4	1	The Best of Both Worlds: Part Two	44001.4	1990-09-24
TNG	4	2	Family	44012.3	1990-10-01
TNG	4	3	Brothers	44085.7	1990-10-08
TNG	4	4	Suddenly Human	44143.7	1990-10-15
TNG	4	5	Remember Me	44161.2	1990-10-22
TNG	4	6	Legacy	44215.2	1990-10-29
TNG	4	7	Reunion	44246.3	1990-11-05
TNG	4	8	Future Imperfect	44286.5	1990-11-12
TNG	4	9	Final Mission	44307.3	1990-11-19
TNG	4	10	The Loss	44356.9	1990-12-31
TNG	4	11	Data's Day	44390.1	1991-01-07
TNG	4	12	The Wounded	44429.6	1991-01-28
TNG	4	13	Devil's Due	44474.5	1991-02-04
TNG	4	14	Clues	44502.7	1991-02-11
TNG	4	15	First Contact	Unknown	1991-02-18
TNG	4	16	Galaxy's Child	44614.6	1991-03-11
TNG	4	17	Night Terrors	44631.2	1991-03-18
TNG	4	18	Identity Crisis	44664.5	1991-03-25
TNG	4	19	The Nth Degree	44704.2	1991-04-01
TNG	4	20	Qpid	44741.9	1991-04-22
TNG	4	21	The Drumhead	44769.2	1991-04-29
TNG	4	22	Half a Life	44805.3	1991-05-06
TNG	4	23	The Host	44821.3	1991-05-13
TNG	4	24	The Mind's Eye	44885.5	1991-05-27
TNG	4	25	In Theory	44932.3	1991-06-03
TNG	4	26	Redemption: Part One	44995.3	1991-06-17
TNG	5	1	Redemption: Part Two	45021.3	1991-09-23
TNG	5	2	Darmok	45047.2	1991-09-30
TNG	5	3	Ensign Ro	45076.3	1991-10-07
TNG	5	4	Silicon Avatar	45122.3	1991-10-14
TNG	5	5	Disaster	45156.1	1991-10-21
TNG	5	6	The Game	45208.2	1991-10-28
TNG	5	7	Unification: Part One	45236.4	1991-11-04
TNG	5	8	Unification: Part Two	45245.8	1991-11-11
TNG	5	9	A Matter of Time	45349.1	1991-11-18
